,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,trending,updated_github_id,gitlab_id,gitlab_url
347,nixlisp,utdemir/nixlisp,A Lisp implementation in Nix.,programming-languages,https://github.com/utdemir/nixlisp,https://github.com/utdemir/nixlisp,,2021-09-18 10:56:32,2021-10-19 21:20:09,2021-10-19 21:20:09,53.0,,3.0,4.0,,,,65.0,,6,False,3.0,,,,,,,,,,,,
348,utf8,figsoda/utf8,UTF-8 support for Nix.,command-line-tools,https://github.com/figsoda/utf8,https://github.com/figsoda/utf8,MPL-2.0,2023-05-28 23:59:36,2024-06-03 22:40:46,2024-02-19 21:20:58,30.0,,,1.0,17.0,1.0,,58.0,2.0,6,False,3.0,2023-05-29 00:04:17,0.1.0,,,1.0,,,,,,,
349,python-nix,tweag/python-nix,Python-Nix FFI library using the new C API.,programming-languages,https://github.com/tweag/python-nix,https://github.com/tweag/python-nix,MIT,2023-09-03 11:21:17,2024-01-10 11:47:45,2024-01-10 11:47:45,17.0,,5.0,9.0,4.0,4.0,2.0,57.0,3.0,6,False,3.0,,,,,,,,['python'],,,,
350,ollama-flake,abysssol/ollama-flake,A nix flake for Ollama.,nixos-modules,https://github.com/abysssol/ollama-flake,https://github.com/abysssol/ollama-flake,CC0-1.0,2023-12-21 01:42:55,2024-12-08 02:56:31,2024-12-08 00:44:02,86.0,,18.0,2.0,13.0,2.0,3.0,56.0,3.0,6,True,3.0,,,,,,,,,,,,
351,nixduino,boredom101/nixduino,Nix-based tool to help build Arduino sketches.,programming-languages,https://github.com/boredom101/nixduino,https://github.com/boredom101/nixduino,MIT,2021-03-22 09:44:25,2022-05-16 05:41:24,2022-05-16 05:41:24,37.0,,,5.0,2.0,2.0,3.0,52.0,2.0,6,False,3.0,,,,,,,,,,,,
352,chisel-nix,chipsalliance/chisel-nix,Nix template for the chisel-based industrial designing flows.,development,https://github.com/chipsalliance/chisel-nix,https://github.com/chipsalliance/chisel-nix,,2024-08-03 08:28:00,2025-04-23 05:36:53,2025-04-23 01:56:04,168.0,,7.0,9.0,101.0,1.0,2.0,51.0,6.0,6,True,3.0,,,,,,,,,,,,
353,fast-flake-update,Mic92/fast-flake-update,Update flake.lock with the latest commit of a local checkout.,command-line-tools,https://github.com/Mic92/fast-flake-update,https://github.com/Mic92/fast-flake-update,,2023-05-20 19:04:55,2025-12-25 01:02:06,2025-11-03 09:40:25,202.0,5.0,3.0,1.0,161.0,,1.0,39.0,8.0,6,True,3.0,,,,,,,,,,,,
354,Nix Shorts,alper/nix-shorts,"A collection of short notes about how to use Nix, updated for Nix Flakes.",learning,https://github.com/alper/nix-shorts,https://github.com/alper/nix-shorts,CC-BY-SA-4.0,2023-05-14 08:12:36,2024-01-25 02:07:22,2023-06-30 18:10:59,82.0,,,1.0,1.0,,,23.0,7.0,6,False,3.0,,,,,,,,,,,,
355,nixpkgs-cuda-ci,SomeoneSerge/nixpkgs-cuda-ci,Building and caching nixpkgs with cudaSupport=true.,overlays,https://github.com/SomeoneSerge/nixpkgs-cuda-ci,https://github.com/SomeoneSerge/nixpkgs-cuda-ci,MIT,2022-03-25 21:57:49,2024-11-28 11:26:29,2024-10-22 21:34:24,1002.0,,2.0,1.0,27.0,7.0,1.0,23.0,9.0,6,False,3.0,,,,,,,,,,,,
356,ssh-participation,tweag/ssh-participation,"An ssh server that creates new users on-the-fly, great for letting users participate in a demo.",development,https://github.com/tweag/ssh-participation,https://github.com/tweag/ssh-participation,MIT,2021-08-10 18:25:16,2023-12-18 22:07:33,2023-08-11 13:42:06,16.0,,,29.0,2.0,,,17.0,,6,False,3.0,,,,,,,,,,,,
