,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,dependent_project_count,github_dependent_project_count,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
181,sbomnix,tiiuae/sbomnix,A suite of utilities to help with software supply chain challenges on nix targets.,security,https://github.com/tiiuae/sbomnix,https://github.com/tiiuae/sbomnix,,2022-12-08 10:45:27,2026-03-06 12:30:58,2026-03-06 12:30:50,362.0,5.0,29.0,7.0,216.0,10.0,19.0,244,13,True,2,2025-10-13 07:22:52,1.7.4,424.0,11.0,19.0,18.0,,,,,,,,
182,nix-search-tv,3timeslazy/nix-search-tv,"CLI fuzzy finder for packages and options from Nixpkgs, Home Manager, and more.",discovery,https://github.com/3timeslazy/nix-search-tv,https://github.com/3timeslazy/nix-search-tv,GPL-3.0,2025-01-29 09:30:56,2026-03-08 20:25:08,2026-02-19 01:37:59,150.0,11.0,7.0,1.0,8.0,,17.0,222,13,True,2,2026-02-19 01:54:05,2.2.7,,,19.0,4.0,,,,,,,,
183,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,https://github.com/justinwoo/easy-purescript-nix,https://github.com/justinwoo/easy-purescript-nix,MIT,2018-10-21 15:16:08,2025-11-22 12:21:39,2025-11-22 12:21:39,463.0,,55.0,7.0,198.0,6.0,31.0,208,13,True,2,,,,,,32.0,,,,,,,,
184,process-compose-flake,Platonic-Systems/process-compose-flake,A flake-parts module to spin up processes for development by leveraging process-compose.,devops,https://github.com/Platonic-Systems/process-compose-flake,https://github.com/Platonic-Systems/process-compose-flake,MIT,2022-12-08 17:19:30,2026-01-08 09:18:05,2026-01-08 09:18:05,173.0,1.0,29.0,8.0,65.0,13.0,26.0,180,13,True,2,2023-06-12 20:46:17,0.1.0,,,1.0,18.0,-1.0,,,,,,,
185,nixdoc,nix-community/nixdoc,Tool to generate documentation for Nix library functions.,development,https://github.com/nix-community/nixdoc,https://github.com/nix-community/nixdoc,GPL-3.0,2018-10-25 16:07:24,2026-02-16 21:43:14,2025-11-18 21:22:40,229.0,,15.0,4.0,135.0,5.0,21.0,163,13,True,3,2025-02-11 21:35:04,3.1.0,,,14.0,14.0,,,,,,,,
186,ghc.nix,alpmestan/ghc.nix,Nix (shell) expression for working on GHC.,programming-languages,https://github.com/alpmestan/ghc.nix,https://github.com/alpmestan/ghc.nix,BSD-3-Clause,2018-04-18 19:54:21,2026-03-08 01:51:23,2024-06-10 15:01:25,271.0,,50.0,13.0,135.0,27.0,29.0,147,13,False,2,,,,,,29.0,,,,,['haskell'],,,
187,hydra-check,nix-community/hydra-check,Check hydra for the build status of a package.,command-line-tools,https://github.com/nix-community/hydra-check,https://github.com/nix-community/hydra-check,MIT,2020-03-05 18:26:56,2026-02-28 16:16:25,2026-02-28 15:50:07,187.0,33.0,11.0,2.0,80.0,,16.0,135,13,True,2,2026-02-28 16:16:25,2.1.0,,,12.0,11.0,,,,,,,,
188,angrr,linyinfeng/angrr,Auto Nix GC Roots Retention. This tool simply deletes auto GC roots based on the modified time of their symbolic link..,command-line-tools,https://github.com/linyinfeng/angrr,https://github.com/linyinfeng/angrr,MIT,2024-03-15 02:58:43,2026-03-06 16:38:37,2026-03-06 16:34:29,669.0,86.0,2.0,2.0,33.0,5.0,8.0,112,13,True,2,2026-01-01 04:17:49,0.2.3,,,9.0,4.0,,,,,,,,
189,lean4-nix,lenianiva/lean4-nix,"Nix flake build for Lean 4, and `lake2nix`.",programming-languages,https://github.com/lenianiva/lean4-nix,https://github.com/lenianiva/lean4-nix,Apache-2.0,2024-10-11 05:39:31,2026-02-23 19:46:11,2026-02-23 19:46:11,267.0,30.0,14.0,3.0,77.0,5.0,34.0,93,13,True,2,2024-12-10 06:09:58,0.2,,,2.0,6.0,,,,,,,,
190,nix-phps,fossar/nix-phps,Flake containing old and unmaintained PHP versions (intended for CI use).,programming-languages,https://github.com/fossar/nix-phps,https://github.com/fossar/nix-phps,MIT,2021-01-09 21:40:06,2026-03-08 04:25:49,2026-03-01 11:36:48,487.0,25.0,24.0,3.0,468.0,5.0,27.0,81,13,True,2,,,,,,18.0,,,,,['php'],,,
