,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
136,spicetify-nix,Gerg-L/spicetify-nix,A nix library for modifying spotify with spicetify.,theming,{},,,39.0,1,False,3.0,,,,,,,,,,
137,chaotic-nyx,chaotic-cx/nyx,Daily bumped bleeding edge packages like `mesa_git` & others that arent yet in Nixpkgs. Created by the makers of..,overlays,{},,,55.0,1,False,2.0,,,,,,,,,,
138,emacs-overlay,nix-community/emacs-overlay,Bleeding edge Emacs overlay.,overlays,{},,,86.0,1,False,2.0,,,,,,,,,,
139,ngipkgs,ngi-nix/ngipkgs,Nix packages and services for projects supported through the NGI program.,overlays,{},,,65.0,1,False,2.0,,,,,,,,,,
140,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,{},,,33.0,1,False,2.0,,,,,,,,,,
141,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozilla overlay for Nixpkgs.,overlays,{},,,66.0,1,False,2.0,,,,,,,,,,
142,nixpkgs-wayland,nix-community/nixpkgs-wayland,Bleeding-edge Wayland packages.,overlays,{},,,36.0,1,False,2.0,,,,,,,,,,
143,System Manager,numtide/system-manager,A non-NixOS Linux system configuration tool built on Nix.,overlays,{},,,37.0,1,False,2.0,,,,,,,,,,
144,agenix,ryantm/agenix,age-encrypted secrets for NixOS and Home manager.,security,{},,,57.0,1,False,2.0,,,,,,,,,,
145,agenix-rekey,oddlama/agenix-rekey,An agenix extension adding secret generation and automatic rekeying using a YubiKey or master-identity.,security,{},,,29.0,1,False,2.0,,,,,,,,,,
146,nix-security-tracker,Nix-Security-WG/nix-security-tracker,Web service for managing information on vulnerabilities in software distributed through Nixpkgs.,security,{},,,35.0,1,False,2.0,,,,,,,,,,
147,nix-mode,NixOS/nix-mode,An Emacs major mode for editing Nix expressions.,editors-and-ides,{},,,43.0,1,False,2.0,,,,,,,,,,
148,vscode-nix-ide,nix-community/vscode-nix-ide,Nix language support for Visual Studio Code.,editors-and-ides,{},,,39.0,1,False,2.0,,,,,,,,,,
149,NixNeovimPlugins,NixNeovim/NixNeovimPlugins,Makes all neovim plugins available in nix (Auto updated).,editors-and-ides,{},1.0,1.0,38.0,1,False,2.0,,,,,,,,,,
150,neovim-nightly-overlay,nix-community/neovim-nightly-overlay,Bleeding edge Neovim overlay.,editors-and-ides,{},,,28.0,1,False,2.0,,,,,,,,,,
151,mobile-nixos,mobile-nixos/mobile-nixos,NixOS for mobile devices like phones.,distributions,{},,,52.0,1,False,1.0,,,,,,,,,,
152,nix-on-droid,nix-community/nix-on-droid,Nix-enabled environment for your Android device.,distributions,{},,,23.0,1,False,1.0,,,,,,,,,,
153,Nix Notes,noteed/nix-notes,"A collection of short notes about Nix, each contributing to the same virtual machine image.",learning,{},,,,0,False,,,,,,,,,,,
154,Nix Shorts,alper/nix-shorts,"A collection of short notes about how to use Nix, updated for Nix Flakes.",learning,{},,,7.0,0,False,,,,,,,,,,,
155,Nix Templates,jonringer/nix-template,Collection of Nix templates for different types of projects.,learning,{},,,6.0,0,False,,,,,,,,,,,
156,nix-1p,tazjin/nix-1p,"A (more or less) one page introduction to Nix, the language.",learning,{},,,6.0,0,False,,,,,,,,,,,
157,nix-articles,samdroid-apps/nix-articles,Some articles about getting started with Nix programming & configuration.,learning,{},,,3.0,0,False,,,,,,,,,,,
158,nix-flake-dev-environments,the-nix-way/nix-flake-dev-environments,Nix flake examples for real-world development environments.,learning,{},,,,0,False,,,,,,,,,,,
159,NixOS Guide,mikeroyal/NixOS-Guide,NixOS Guide. Learn all about the immutable Nix Operating System and the declarative Nix Expression Language.,learning,{},,,5.0,0,False,,,,,,,,,,,
160,nixos-in-production,Gabriella439/nixos-in-production,"Source files for the book NixOS in Production, a practical guide for using NixOS in professional environments.",learning,{},,,7.0,0,False,,,,,,,,,,,
161,donovanglover/nix-config,donovanglover/nix-config,"NixOS configuration with Nix Flakes, Home Manager, Stylix, and Hyprland.",nix-configurations,{},,,,0,False,,,,,,,,,,,
162,dustinlyons/nixos-config,dustinlyons/nixos-config,General purpose Nix configuration for macOS / NixOS (with starter templates).,nix-configurations,{},,,20.0,0,False,,,,,,,,,,,
163,hlissner/dotfiles,hlissner/dotfiles,A comprehensive NixOS configuration example with detailed module structure.,nix-configurations,{},,,7.0,0,False,,,,,,,,,,,
164,juspay/nixos-unified-template,juspay/nixos-unified-template,A ready-made Nix configuration to manage either your Home environment or whole NixOS systems.,nix-configurations,{},,,17.0,0,False,,,,,,,,,,,
165,kclejeune/system,kclejeune/system,"Declarative system configurations using nixOS, nix-darwin, and home-manager.",nix-configurations,{},,,9.0,0,False,,,,,,,,,,,
166,Misterio77/nix-starter-configs,Misterio77/nix-starter-configs,A few simple Nix Flake templates for getting started with NixOS + home-manager.,nix-configurations,{},,,15.0,0,False,,,,,,,,,,,
167,nixbuntu-samples,lheckemann/nixbuntu-samples,Sample configurations for NixOS.,nix-configurations,{},,,,0,False,,,,,,,,,,,
168,NobbZ/nixos-config,NobbZ/nixos-config,An example of NixOS system configuration with home-manager integration.,nix-configurations,{},,,9.0,0,False,,,,,,,,,,,
169,mitchellh/nixos-config,mitchellh/nixos-config,"NixOS system configurations for a development environment, primarily running in a VM on macOS with VMware Fusion.",nix-configurations,{},,,8.0,0,False,,,,,,,,,,,
170,ryan4yin/nix-config,ryan4yin/nix-config,Nix config for both desktops(NixOS+macOS) and homelab servers(NixOS).,nix-configurations,{},,,15.0,0,False,,,,,,,,,,,
171,Home Manager Option Search,mipmip/home-manager-option-search,Search through all 2000+ Home Manager options and read how to use them.,discovery,{},,,17.0,0,False,,,,,,,,,,,
172,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,{},,,12.0,0,False,,,,,,,,,,,
