,name,github_id,description,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,trending
75,patsh,nix-community/patsh,A command-line tool for patching shell scripts inspired by resholve.,command-line-tools,{},19.0,19.0,2.0,1,False,2.0,,,,,,,,,,
76,llm-agents.nix,numtide/llm-agents.nix,Nix packages for AI coding agents and development tools. Automatically updated daily.,ai-tooling,{},,,133.0,1,False,1.0,,,,,,,,,,-25.0
77,Arion,hercules-ci/arion,Run `docker-compose` with help from Nix/NixOS.,development,{},,,31.0,1,False,2.0,,,,,,,,,,
78,attic,zhaofengli/attic,Multi-tenant Nix Binary Cache.,development,{},,,41.0,1,False,2.0,,,,,,,,,,
79,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,{},8.0,8.0,6.0,1,False,2.0,,,,,,,,,,
80,cachix,cachix/cachix,Command line client for Nix binary cache hosting.,development,{},,,22.0,1,False,2.0,,,,,,,,,,
81,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,{},,,103.0,1,False,2.0,,,,,,,,,,-28.0
82,devshell,numtide/devshell,`mkShell` with extra bits and a toml config option to be able to onboard non-nix users.,development,{},,,43.0,1,False,2.0,,,,,,,,,,
83,digga,divnix/digga,"A Nix flake utility library to structure your home, system, and development configurations.",development,{},,,53.0,1,False,2.0,,,,,,,,,,
84,dream2nix,nix-community/dream2nix,A framework for automatically converting packages from other build systems to Nix.,development,{},,,80.0,1,False,2.0,,,,,,,,,,
85,flake-utils,numtide/flake-utils,Pure Nix flake utility functions to help with writing flakes.,development,{},,,28.0,1,False,2.0,,,,,,,,,,
86,flake-utils-plus,gytis-ivaskevicius/flake-utils-plus,A lightweight Nix library flake for painless NixOS flake configuration.,development,{},,,24.0,1,False,2.0,,,,,,,,,,
87,flake.parts,hercules-ci/flake-parts,Minimal Nix modules framework for Flakes: split your flakes into modules and get things done with community modules.,development,{},,,26.0,1,False,2.0,,,,,,,,,,
88,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,{},,,74.0,1,False,2.0,,,,,,,,,,
89,jupyenv,tweag/jupyenv,Declarative and reproducible Jupyter environments - powered by Nix.,development,{},,,39.0,1,False,2.0,,,,,,,,,,
90,lorri,nix-community/lorri,A much better `nix-shell` for development that augments direnv.,development,{},,,59.0,1,False,2.0,,,,,,,,,,
91,nil,oxalica/nil,"NIx Language server, an incremental analysis assistent for writing in Nix.",development,{},,,35.0,1,False,2.0,,,,,,,,,,
92,niv,nmattia/niv,Easy dependency management for Nix projects with package pinning.,development,{},,,38.0,1,False,2.0,,,,,,,,,,
93,nix-direnv,nix-community/nix-direnv,A fast loader and flake-compliant configuration for the direnv environment auto-loader.,development,{},,,91.0,1,False,2.0,,,,,,,,,,
94,nix-fast-build,Mic92/nix-fast-build,Combine the power of nix-eval-jobs with nix-output-monitor to speed-up your evaluation and building process.,development,{},,,22.0,1,False,2.0,,,,,,,,,,
95,nix-ld,nix-community/nix-ld,Run unpatched dynamic binaries on NixOS.,development,{},,,21.0,1,False,2.0,,,,,,,,,,
96,nix-unit,nix-community/nix-unit,Unit testing for Nix code.,development,{},,,23.0,1,False,2.0,,,,,,,,,,
