,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,trending,updated_github_id,labels,new_addition,gitlab_id,gitlab_url
244,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,https://github.com/lazamar/nix-package-versions,https://github.com/lazamar/nix-package-versions,,2020-02-11 23:23:47,2025-06-19 13:42:50,2025-06-19 13:42:45,318.0,,31.0,6.0,19.0,10.0,29.0,411,10,True,3,,,,,,12.0,,,,,,,,
245,static-haskell-nix,nh2/static-haskell-nix,Easily build most Haskell programs into fully static Linux executables.,programming-languages,https://github.com/nh2/static-haskell-nix,https://github.com/nh2/static-haskell-nix,,2018-06-13 01:06:17,2024-06-30 13:23:08,2024-06-15 22:58:11,257.0,,36.0,16.0,57.0,19.0,53.0,402,10,False,3,2024-06-15 23:02:38,2024-06-16,66.0,0.0,5.0,12.0,,,,,['haskell'],,,
246,high-quality-nix-content,gytis-ivaskevicius/high-quality-nix-content,GitHub repository containing highest quality Nix/NixOS content.,theming,https://github.com/gytis-ivaskevicius/high-quality-nix-content,https://github.com/gytis-ivaskevicius/high-quality-nix-content,MIT,2021-05-28 18:31:02,2025-06-25 11:51:02,2025-06-25 11:51:02,86.0,,23.0,13.0,25.0,2.0,3.0,356,10,True,3,,,,,,18.0,,,,,,,,
247,nix-melt,nix-community/nix-melt,A ranger-like flake.,command-line-tools,https://github.com/nix-community/nix-melt,https://github.com/nix-community/nix-melt,MPL-2.0,2023-04-25 22:20:20,2024-12-13 23:10:06,2024-09-16 15:27:16,347.0,,2.0,2.0,221.0,2.0,3.0,293,10,False,3,2024-09-16 15:29:34,0.1.3,360.0,10.0,4.0,3.0,1.0,1.0,,,,,,
248,Nixinate,MatthewCroughan/nixinate,A Nix flake library to provide app outputs for managing existing NixOS hosts over SSH.,deployment-tools,https://github.com/MatthewCroughan/nixinate,https://github.com/MatthewCroughan/nixinate,MIT,2022-01-03 09:39:11,2025-03-23 13:46:49,2025-03-23 13:46:47,59.0,,34.0,10.0,29.0,15.0,15.0,284,10,True,3,,,,,,7.0,,,,,,,,
249,gitignore.nix,hercules-ci/gitignore.nix,The most feature-complete and easy-to-use `.gitignore` integration.,development,https://github.com/hercules-ci/gitignore.nix,https://github.com/hercules-ci/gitignore.nix,Unlicense,2019-05-12 11:51:55,2025-11-10 20:53:46,2025-11-10 20:53:45,107.0,,22.0,9.0,35.0,23.0,12.0,280,10,True,3,,,,,,13.0,,,,,,,,
250,appvm,jollheef/appvm,Nix-based app VMs.,virtualisation,https://github.com/jollheef/appvm,https://github.com/jollheef/appvm,GPL-3.0,2018-06-30 22:15:18,2025-04-21 17:49:19,2025-04-21 17:49:02,234.0,,19.0,12.0,12.0,8.0,11.0,275,10,True,3,2025-04-21 17:52:13,0.6,,,4.0,5.0,,,,,,,,
251,schizofox,schizofox/schizofox,Hardened Firefox flake for the delusional and the schizophrenics.,security,https://github.com/schizofox/schizofox,https://github.com/schizofox/schizofox,,2023-08-23 18:59:04,2026-01-01 19:33:30,2026-01-01 19:33:30,300.0,6.0,19.0,4.0,98.0,14.0,26.0,274,10,True,3,,,,,,17.0,,,,,,,,
252,base16.nix,SenchoPens/base16.nix,"Flake way to theme programs in base16 colorschemes, mustache template support included.",theming,https://github.com/SenchoPens/base16.nix,https://github.com/SenchoPens/base16.nix,MIT,2021-05-06 15:19:06,2025-08-21 23:34:00,2025-08-21 23:34:00,69.0,,12.0,2.0,9.0,2.0,14.0,272,10,True,3,2024-02-27 10:09:57,2.2.1,,,7.0,8.0,,,,,,,,
253,nix-appimage,ralismark/nix-appimage,Convert a nixos derivation into a self-contained binary.,command-line-tools,https://github.com/ralismark/nix-appimage,https://github.com/ralismark/nix-appimage,MIT,2022-08-07 06:20:32,2025-09-15 07:21:53,2025-09-15 07:21:53,42.0,,24.0,6.0,7.0,5.0,16.0,234,10,True,3,,,,,,4.0,,,,,,,,
254,nixus,infinisil/nixus,Experimental deployment tool supporting multi-host abstractions.,deployment-tools,https://github.com/infinisil/nixus,https://github.com/infinisil/nixus,GPL-3.0,2019-12-22 04:35:22,2026-02-14 20:10:07,2026-02-14 20:09:31,158.0,1.0,15.0,11.0,29.0,10.0,23.0,232,10,True,3,,,,,,10.0,,,,,,,,
255,lf-doc,lf-/nix-doc,An interactive Nix documentation tool providing CLI for function search.,discovery,https://github.com/lf-/nix-doc,https://github.com/lf-/nix-doc,,2020-07-16 08:49:20,2024-05-15 22:15:48,2024-05-15 22:15:48,80.0,,6.0,5.0,4.0,8.0,17.0,225,10,False,3,2021-07-09 03:37:24,0.5.1,,,2.0,3.0,5.0,5.0,,,,,,
256,styx (dnr),dnr/styx,Alternate nix substitution.,command-line-tools,https://github.com/dnr/styx,https://github.com/dnr/styx,GPL-2.0,2024-02-13 07:52:33,2025-12-29 09:40:46,2025-12-29 09:40:19,397.0,50.0,3.0,7.0,,1.0,1.0,204,10,True,3,,,,,,,,,,,,,,
257,nixcloud-webservices,nixcloud/nixcloud-webservices,"This nixpkgs extension, called nixcloud-webservices, focuses on ease of deployment of web-related technologies.",deployment-tools,https://github.com/nixcloud/nixcloud-webservices,https://github.com/nixcloud/nixcloud-webservices,,2017-11-17 23:06:20,2024-10-18 11:02:38,2024-10-18 11:02:38,467.0,,25.0,12.0,29.0,18.0,40.0,189,10,False,3,,,,,,14.0,,,,,,,,
258,buildkit-nix,reproducible-containers/buildkit-nix,Nix derivations as Dockerfiles.,virtualisation,https://github.com/reproducible-containers/buildkit-nix,https://github.com/reproducible-containers/buildkit-nix,Apache-2.0,2021-12-03 12:53:28,2023-09-13 10:51:18,2023-09-13 10:51:18,33.0,,17.0,10.0,15.0,6.0,3.0,183,10,False,3,2023-09-13 09:41:32,0.1.1,,,4.0,2.0,,,,,,,,
259,nixiosk,matthewbauer/nixiosk,Declarative Kiosk systems built with NixOS.,nixos-modules,https://github.com/matthewbauer/nixiosk,https://github.com/matthewbauer/nixiosk,MIT,2020-02-22 21:05:04,2023-03-19 01:28:23,2023-03-19 01:28:04,289.0,,14.0,6.0,10.0,13.0,6.0,167,10,False,3,,,,,,6.0,,,,,,,,
260,ruby-nix,inscapist/ruby-nix,Generates reproducible ruby/bundler app environment with Nix.,programming-languages,https://github.com/inscapist/ruby-nix,https://github.com/inscapist/ruby-nix,MIT,2022-12-20 08:37:50,2025-08-13 04:24:12,2025-08-13 04:24:12,145.0,,17.0,6.0,45.0,4.0,17.0,148,10,True,3,2024-09-07 03:26:11,0.2.2,,,8.0,6.0,,,,,['ruby'],,,
261,namaka,nix-community/namaka,Snapshot testing for Nix based on haumea.,development,https://github.com/nix-community/namaka,https://github.com/nix-community/namaka,MPL-2.0,2023-04-09 02:24:14,2026-02-25 16:44:32,2026-02-25 16:44:29,369.0,9.0,4.0,2.0,205.0,2.0,2.0,134,10,True,3,2024-11-17 00:47:49,0.2.1,,,4.0,4.0,1.0,1.0,,,,,,
262,optnix,water-sucks/optnix,"A fast, terminal-based options searcher for Nix module systems.",discovery,https://github.com/water-sucks/optnix,https://github.com/water-sucks/optnix,GPL-3.0,2025-01-15 22:29:57,2026-02-02 02:42:29,2026-02-02 02:41:57,121.0,15.0,2.0,3.0,26.0,1.0,8.0,93,10,True,3,2025-12-11 02:30:32,0.3.1,,,6.0,2.0,1.0,1.0,,,,,,
263,nijs,svanderburg/nijs,NiJS: An internal DSL for Nix in JavaScript.,programming-languages,https://github.com/svanderburg/nijs,https://github.com/svanderburg/nijs,MIT,2013-01-25 20:44:29,2022-05-01 15:31:03,2022-05-01 15:30:50,170.0,,4.0,6.0,,6.0,,58,10,False,3,,,,,,2.0,29.0,29.0,,,,,,
264,patsh,nix-community/patsh,A command-line tool for patching shell scripts inspired by resholve.,command-line-tools,https://github.com/nix-community/patsh,https://github.com/nix-community/patsh,MPL-2.0,2022-11-26 03:13:01,2024-05-16 11:25:23,2024-02-19 21:21:25,262.0,,1.0,2.0,135.0,2.0,,53,10,False,3,2023-08-18 14:59:05,0.2.1,,,6.0,2.0,19.0,19.0,,,,,,
265,nixpkgs-track,uncenter/nixpkgs-track,Track where Nixpkgs pull requests have reached.,command-line-tools,https://github.com/uncenter/nixpkgs-track,https://github.com/uncenter/nixpkgs-track,MIT,2024-08-02 21:26:39,2026-03-01 23:51:40,2026-03-01 23:51:24,61.0,15.0,2.0,1.0,13.0,1.0,6.0,46,10,True,3,2026-01-09 16:36:32,nixpkgs-track_lib-v0.5.0,,,4.0,5.0,1.0,1.0,,,,,,
266,nix-du,symphorien/nix-du,Visualise which gc-roots to delete to free some space in your Nix store.,command-line-tools,https://github.com/symphorien/nix-du,https://github.com/symphorien/nix-du,LGPL-3.0,2018-01-15 21:42:01,2025-05-12 18:23:16,2025-05-12 12:00:00,300.0,,6.0,4.0,11.0,3.0,15.0,463,9,True,3,,,,,,3.0,,,,,,,,
