,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,github_release_downloads,monthly_downloads,labels,trending
120,opam2nix,timbertson/opam2nix,Generate Nix expressions from opam packages.,programming-languages,https://github.com/timbertson/opam2nix,https://github.com/timbertson/opam2nix,MIT,2015-08-06 10:42:08,2025-01-29 21:52:55,2025-01-29 05:58:48,370,,27.0,12,29.0,17.0,45.0,93,,,,,,11.0,11,True,3,,,,
121,composer2nix,svanderburg/composer2nix,Generate Nix expressions to build composer packages.,programming-languages,https://github.com/svanderburg/composer2nix,https://github.com/svanderburg/composer2nix,MIT,2017-07-07 20:51:06,2022-08-18 10:35:27,2022-03-01 23:41:50,64,,26.0,3,19.0,10.0,11.0,92,2022-03-05 11:16:43,0.0.6,6.0,,,7.0,11,False,3,,,,
122,purs-nix,purs-nix/purs-nix,CLI and library combo designed for managing PureScript projects using Nix.,programming-languages,https://github.com/purs-nix/purs-nix,https://github.com/purs-nix/purs-nix,MIT,2021-02-25 04:10:19,2025-05-09 21:12:06,2025-05-08 17:27:14,589,4.0,27.0,2,21.0,7.0,30.0,76,,,,,,7.0,11,True,3,,,,
123,nixos-in-production,Gabriella439/nixos-in-production,"Source files for the book NixOS in Production, a practical guide for using NixOS in professional environments.",learning,https://github.com/Gabriella439/nixos-in-production,https://github.com/Gabriella439/nixos-in-production,,2022-09-09 01:41:56,2024-10-06 12:50:20,2024-10-06 12:49:49,127,,24.0,31,5.0,7.0,20.0,594,2024-09-23 06:00:28,0.10,10.0,,,6.0,10,True,3,,,,
124,manix,mlvzk/manix,"Find configuration options and function documentation for Nixpkgs, NixOS, and Home Manager.",command-line-tools,https://github.com/mlvzk/manix,https://github.com/mlvzk/manix,MPL-2.0,2020-08-15 17:14:06,2024-01-28 15:07:18,2021-04-19 23:47:08,82,,14.0,15,17.0,10.0,7.0,389,2021-04-19 23:51:39,0.6.3,4.0,,,3.0,10,False,3,123.0,2.0,,
125,Nix Package Versions,lazamar/nix-package-versions,Find all versions of a package that were available in a channel and the revision you can download it from.,discovery,https://github.com/lazamar/nix-package-versions,https://github.com/lazamar/nix-package-versions,,2020-02-11 23:23:47,2025-01-23 23:25:07,2025-01-23 23:25:03,313,,30.0,8,18.0,10.0,27.0,355,,,,,,11.0,10,True,2,,,,
126,Nixinate,MatthewCroughan/nixinate,A Nix flake library to provide app outputs for managing existing NixOS hosts over SSH.,deployment-tools,https://github.com/MatthewCroughan/nixinate,https://github.com/MatthewCroughan/nixinate,MIT,2022-01-03 09:39:11,2025-03-23 13:46:49,2025-03-23 13:46:47,59,1.0,33.0,11,27.0,14.0,15.0,263,,,,,,7.0,10,True,3,,,,
127,lf-doc,lf-/nix-doc,An interactive Nix documentation tool providing CLI for function search.,command-line-tools,https://github.com/lf-/nix-doc,https://github.com/lf-/nix-doc,,2020-07-16 08:49:20,2024-05-15 22:15:48,2024-05-15 22:15:48,80,,6.0,6,4.0,8.0,17.0,216,2021-07-09 03:37:24,0.5.1,2.0,5.0,5.0,3.0,10,True,3,,,,
128,npmlock2nix,nix-community/npmlock2nix,"Generate Nix expressions from a `package-lock.json` (in-memory), primarily for web projects.",programming-languages,https://github.com/nix-community/npmlock2nix,https://github.com/nix-community/npmlock2nix,Apache-2.0,2020-07-22 14:21:40,2024-01-20 21:45:48,2023-01-11 14:30:13,286,,36.0,4,137.0,37.0,19.0,135,,,,,,15.0,10,False,3,,,,
129,namaka,nix-community/namaka,Snapshot testing for Nix based on haumea.,development,https://github.com/nix-community/namaka,https://github.com/nix-community/namaka,MPL-2.0,2023-04-09 02:24:14,2025-02-12 16:53:55,2024-11-17 00:47:29,359,,3.0,4,201.0,2.0,1.0,123,2024-11-17 00:47:49,0.2.1,4.0,1.0,1.0,3.0,10,True,3,,,,
130,MCP-NixOS,utensils/mcp-nixos,"An MCP server that provides AI assistants with accurate information about NixOS packages, options, Home Manager, and..",development,https://github.com/utensils/mcp-nixos,https://github.com/utensils/mcp-nixos,MIT,2025-03-20 05:05:00,2025-04-25 16:38:03,2025-04-25 16:37:55,307,307.0,5.0,4,17.0,2.0,2.0,91,,,,,,2.0,10,True,3,,,,
131,nixos-avf,nix-community/nixos-avf,NixOS for Android Terminal (Android Virtualization Framework).,distributions,https://github.com/nix-community/nixos-avf,https://github.com/nix-community/nixos-avf,GPL-3.0,2025-03-24 22:04:05,2025-05-10 13:59:02,2025-05-10 13:58:59,87,87.0,1.0,3,2.0,4.0,5.0,86,2025-03-26 16:56:00,nixos-25.05,3.0,,,,10,True,3,21.0,10.0,,
132,nijs,svanderburg/nijs,NiJS: An internal DSL for Nix in JavaScript.,programming-languages,https://github.com/svanderburg/nijs,https://github.com/svanderburg/nijs,MIT,2013-01-25 20:44:29,2022-05-01 15:31:03,2022-05-01 15:30:50,170,,4.0,7,,6.0,,57,,,,29.0,29.0,2.0,10,False,3,,,,
133,Nix Software Center,snowfallorg/nix-software-center,Install and manage Nix packages.,nixos-configuration-editors,https://github.com/snowfallorg/nix-software-center,https://github.com/snowfallorg/nix-software-center,GPL-3.0,2022-08-26 18:58:22,2024-11-02 03:21:56,2024-11-02 03:21:56,95,,24.0,10,14.0,58.0,17.0,678,,,,,,9.0,9,True,1,,,,
134,NixOS Configuration Editor,snowfallorg/nixos-conf-editor,Graphical editor for NixOS configuration.,nixos-configuration-editors,https://github.com/snowfallorg/nixos-conf-editor,https://github.com/snowfallorg/nixos-conf-editor,GPL-3.0,2022-05-31 20:25:42,2024-02-07 20:33:54,2024-02-07 20:33:30,70,,15.0,9,7.0,16.0,6.0,553,,,3.0,,,5.0,9,False,1,,,,
135,Snowfall Lib,snowfallorg/lib,A library that makes it easy to manage your Nix flake by imposing an opinionated file structure.,development,https://github.com/snowfallorg/lib,https://github.com/snowfallorg/lib,,2022-09-08 00:07:34,2025-01-06 02:28:15,2025-01-06 02:28:15,93,,45.0,12,34.0,36.0,108.0,509,,,,,,12.0,9,True,3,,,,
136,nix-diff,Gabriella439/nix-diff,A tool to explain why two Nix derivations differ.,command-line-tools,https://github.com/Gabriella439/nix-diff,https://github.com/Gabriella439/nix-diff,BSD-3-Clause,2017-09-30 19:02:53,2024-12-20 07:48:10,2024-12-20 07:48:09,120,,19.0,11,69.0,11.0,20.0,397,,,,,,16.0,9,True,3,,,,
137,Home Manager Option Search,mipmip/home-manager-option-search,Search through all 2000+ Home Manager options and read how to use them.,discovery,https://github.com/mipmip/home-manager-option-search,https://github.com/mipmip/home-manager-option-search,Apache-2.0,2022-01-04 22:27:08,2025-05-15 04:35:07,2025-03-13 20:33:20,144,1.0,16.0,1,20.0,10.0,20.0,315,2023-12-12 22:53:06,1.4,4.0,,,14.0,9,True,3,,,,
138,bento,rapenne-s/bento,A KISS deployment tool to keep your NixOS fleet (servers & workstations) up to date.,deployment-tools,https://github.com/rapenne-s/bento,https://github.com/rapenne-s/bento,MIT,2022-09-08 20:16:38,2024-12-29 17:24:56,2024-12-29 17:24:56,157,,11.0,8,9.0,3.0,2.0,267,,,,,,6.0,9,True,3,,,,
139,gitignore.nix,hercules-ci/gitignore.nix,The most feature-complete and easy-to-use `.gitignore` integration.,development,https://github.com/hercules-ci/gitignore.nix,https://github.com/hercules-ci/gitignore.nix,Unlicense,2019-05-12 11:51:55,2024-02-28 02:28:52,2024-02-28 02:28:52,101,,19.0,10,34.0,24.0,12.0,258,,,,,,12.0,9,False,3,,,,
140,dwarffs,edolstra/dwarffs,A FUSE filesystem that allows tools like gdb to look up debug info files via HTTP.,command-line-tools,https://github.com/edolstra/dwarffs,https://github.com/edolstra/dwarffs,GPL-3.0,2017-07-06 16:43:44,2024-12-02 13:32:34,2024-12-02 13:32:34,85,,24.0,12,16.0,4.0,9.0,206,,,,,,8.0,9,True,3,,,,
141,elm2nix,cachix/elm2nix,Convert `elm.json` into Nix expressions.,programming-languages,https://github.com/cachix/elm2nix,https://github.com/cachix/elm2nix,BSD-3-Clause,2017-12-14 14:31:58,2025-04-30 18:32:22,2025-04-30 18:32:20,118,3.0,17.0,8,34.0,4.0,17.0,113,,,,,,14.0,9,True,3,,,,
142,nix-search-tv,3timeslazy/nix-search-tv,"CLI fuzzy finder for packages and options from Nixpkgs, Home Manager, and more.",discovery,https://github.com/3timeslazy/nix-search-tv,https://github.com/3timeslazy/nix-search-tv,GPL-3.0,2025-01-29 09:30:56,2025-05-06 18:25:32,2025-04-18 11:09:29,107,46.0,,1,,2.0,1.0,77,2025-04-17 20:50:24,2.1.6,9.0,,,,9,True,3,,,,
143,rust-nix-templater,yusdacra/rust-nix-templater,Generates Nix build and development files for Rust projects.,programming-languages,https://github.com/yusdacra/rust-nix-templater,https://github.com/yusdacra/rust-nix-templater,MIT,2021-01-04 15:40:01,2023-03-14 02:45:44,2023-03-14 02:45:44,178,,,3,3.0,4.0,15.0,49,2022-11-03 23:57:26,0.4.0,9.0,,,2.0,9,False,3,,,['rust'],
144,nix-1p,tazjin/nix-1p,"A (more or less) one page introduction to Nix, the language.",learning,https://github.com/tazjin/nix-1p,https://github.com/tazjin/nix-1p,,2019-08-01 21:49:02,2024-04-16 17:20:17,2024-04-16 17:10:16,24,,24.0,18,9.0,7.0,8.0,951,,,,,,5.0,8,False,3,,,,
145,NixNG,nix-community/NixNG,"A GNU/Linux distribution similar to NixOS, defining difference is a focus on containers and lightweightness.",distributions,https://github.com/nix-community/NixNG,https://github.com/nix-community/NixNG,,2021-06-21 05:05:39,2025-05-04 15:07:54,2025-05-04 15:07:54,329,1.0,19.0,15,40.0,18.0,5.0,365,,,,,,9.0,8,True,3,,,,
