,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending,labels,updated_github_id
255,purs-nix,purs-nix/purs-nix,CLI and library combo designed for managing PureScript projects using Nix.,programming-languages,https://github.com/purs-nix/purs-nix,https://github.com/purs-nix/purs-nix,MIT,2021-02-25 04:10:19,2025-05-09 21:12:06,2025-05-08 17:27:14,589,,27.0,2,21.0,7.0,30.0,75,7.0,10,True,3,,,,,,,,,,
256,hyprland-protocols,hyprwm/hyprland-protocols,Wayland protocol extensions for Hyprland.,nixos-modules,https://github.com/hyprwm/hyprland-protocols,https://github.com/hyprwm/hyprland-protocols,BSD-3-Clause,2022-11-25 19:55:10,2025-06-04 14:18:34,2025-06-04 14:18:34,42,1.0,10.0,3,19.0,,1.0,73,7.0,10,True,3,2025-04-03 21:14:56,0.6.4,9.0,,,,,,,
257,optnix,water-sucks/optnix,"A fast, terminal-based options searcher for Nix module systems.",discovery,https://github.com/water-sucks/optnix,https://github.com/water-sucks/optnix,GPL-3.0,2025-01-15 22:29:57,2025-08-11 08:49:11,2025-08-11 08:48:41,101,96.0,,2,22.0,2.0,5.0,63,2.0,10,True,3,2025-08-11 08:55:35,0.3.0,5.0,1.0,1.0,,,,,
258,nijs,svanderburg/nijs,NiJS: An internal DSL for Nix in JavaScript.,programming-languages,https://github.com/svanderburg/nijs,https://github.com/svanderburg/nijs,MIT,2013-01-25 20:44:29,2022-05-01 15:31:03,2022-05-01 15:30:50,170,,4.0,7,,6.0,,58,2.0,10,False,3,,,,29.0,29.0,,,,,
259,genealogos,tweag/genealogos,A Nix sbom generator.,security,https://github.com/tweag/genealogos,https://github.com/tweag/genealogos,MIT,2023-03-10 13:44:54,2025-04-04 20:47:07,2025-02-06 16:37:21,223,,1.0,12,48.0,5.0,18.0,49,9.0,10,True,3,2024-06-13 12:15:00,1.0.0,4.0,,,75.0,4.0,,,
260,geospatial-nix,imincik/geospatial-nix,Geospatial packages repository and environment.,overlays,https://github.com/imincik/geospatial-nix,https://github.com/imincik/geospatial-nix,MIT,2022-10-27 10:29:43,2024-11-27 09:13:35,2024-11-27 09:13:33,894,,5.0,3,536.0,4.0,1.0,47,3.0,10,True,3,2024-10-06 23:00:45,2024.40.0,42.0,,,,,,,
261,nix-forecast,getchoo/nix-forecast,Check the forecast for todays Nix builds.,command-line-tools,https://github.com/getchoo/nix-forecast,https://github.com/getchoo/nix-forecast,MPL-2.0,2024-09-13 21:05:29,2025-08-16 01:28:19,2025-05-11 22:37:12,62,,1.0,2,76.0,2.0,3.0,41,4.0,10,True,3,2025-05-11 22:40:20,0.4.0,4.0,,,,,,,
262,nixpkgs-track,uncenter/nixpkgs-track,Track where Nixpkgs pull requests have reached.,command-line-tools,https://github.com/uncenter/nixpkgs-track,https://github.com/uncenter/nixpkgs-track,MIT,2024-08-02 21:26:39,2025-07-27 10:31:16,2025-07-27 10:30:55,46,11.0,2.0,1,10.0,,6.0,33,5.0,10,True,3,2025-05-23 15:38:42,0.3.0,1.0,1.0,1.0,,,,,
263,crystal2nix,nix-community/crystal2nix,Convert `shard.lock` into Nix expressions.,programming-languages,https://github.com/nix-community/crystal2nix,https://github.com/nix-community/crystal2nix,MIT,2020-12-22 04:10:33,2025-07-09 13:53:46,2025-07-09 13:50:51,25,5.0,5.0,2,19.0,3.0,4.0,19,4.0,10,True,3,2025-07-09 13:53:46,0.3.1,3.0,,,,,,,
264,Snowfall Lib,snowfallorg/lib,A library that makes it easy to manage your Nix flake by imposing an opinionated file structure.,development,https://github.com/snowfallorg/lib,https://github.com/snowfallorg/lib,,2022-09-08 00:07:34,2025-01-06 02:28:15,2025-01-06 02:28:15,93,,55.0,13,34.0,38.0,108.0,552,12.0,9,True,3,,,,,,,,,,
265,nix-du,symphorien/nix-du,Visualise which gc-roots to delete to free some space in your Nix store.,command-line-tools,https://github.com/symphorien/nix-du,https://github.com/symphorien/nix-du,LGPL-3.0,2018-01-15 21:42:01,2025-05-12 18:23:16,2025-05-12 12:00:00,300,,6.0,6,11.0,3.0,15.0,443,3.0,9,True,3,,,,,,,,,,
266,nix-diff,Gabriella439/nix-diff,A tool to explain why two Nix derivations differ.,command-line-tools,https://github.com/Gabriella439/nix-diff,https://github.com/Gabriella439/nix-diff,BSD-3-Clause,2017-09-30 19:02:53,2024-12-20 07:48:10,2024-12-20 07:48:09,120,,18.0,11,69.0,11.0,20.0,424,16.0,9,True,3,,,,,,,,,,
267,bento,rapenne-s/bento,A KISS deployment tool to keep your NixOS fleet (servers & workstations) up to date.,deployment-tools,https://github.com/rapenne-s/bento,https://github.com/rapenne-s/bento,MIT,2022-09-08 20:16:38,2024-12-29 17:24:56,2024-12-29 17:24:56,157,,11.0,8,9.0,3.0,2.0,290,6.0,9,True,3,,,,,,,,,,
268,nix-systems,nix-systems/nix-systems,Externally extensible flake systems.,development,https://github.com/nix-systems/nix-systems,https://github.com/nix-systems/nix-systems,MIT,2023-04-07 09:55:25,2025-08-11 08:11:13,2025-08-11 08:11:13,26,1.0,5.0,11,5.0,4.0,6.0,239,5.0,9,True,3,,,,,,,,,,
269,nix-netboot-serve,DeterminateSystems/nix-netboot-serve,Make any NixOS system netbootable with 10s cycle times.,installation-media,https://github.com/DeterminateSystems/nix-netboot-serve,https://github.com/DeterminateSystems/nix-netboot-serve,MIT,2021-09-01 17:05:39,2025-04-09 16:01:57,2025-04-09 16:01:55,95,,13.0,5,24.0,5.0,2.0,224,5.0,9,True,3,2021-09-03 19:17:30,0.1.0,1.0,,,,,,,
270,nix-filter,numtide/nix-filter,A small self-contained source filtering lib.,development,https://github.com/numtide/nix-filter,https://github.com/numtide/nix-filter,MIT,2021-04-23 12:16:46,2024-11-13 21:28:58,2024-11-13 21:28:56,58,,16.0,12,34.0,7.0,8.0,222,11.0,9,True,3,,,,,,,,,,
271,typhon,typhon-ci/typhon,Nix-based continuous integration.,devops,https://github.com/typhon-ci/typhon,https://github.com/typhon-ci/typhon,AGPL-3.0,2022-10-01 10:47:12,2024-11-04 00:35:31,2024-10-31 11:21:33,592,,6.0,8,50.0,16.0,13.0,217,3.0,9,True,3,,,,,,,,,,
