,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,new_addition
83,devshell,numtide/devshell,`mkShell` with extra bits and a toml config option to be able to onboard non-nix users.,development,https://github.com/numtide/devshell,https://github.com/numtide/devshell,MIT,2020-08-04 20:29:01,2025-08-18 14:28:22,2025-03-08 22:32:38,345,,92.0,26,196.0,69.0,71.0,1402,40.0,16,True,2,,,,,,,,,,,
84,System Manager,numtide/system-manager,A non-NixOS Linux system configuration tool built on Nix.,overlays,https://github.com/numtide/system-manager,https://github.com/numtide/system-manager,MIT,2023-03-22 16:38:41,2025-08-24 14:07:37,2025-08-23 12:28:46,666,21.0,34.0,18,199.0,34.0,26.0,1133,22.0,16,True,2,,,,,,,,,,,
85,nix-init,nix-community/nix-init,"Generate Nix packages from URLs with hash prefetching, dependency inference, license detection, and more.",command-line-tools,https://github.com/nix-community/nix-init,https://github.com/nix-community/nix-init,MPL-2.0,2023-01-18 19:45:48,2025-08-12 16:38:38,2025-05-04 06:51:38,1074,,30.0,6,584.0,33.0,27.0,1115,12.0,16,True,2,2024-08-16 05:45:38,0.3.1,10.0,1.0,1.0,,,,,,
86,nix-portable,DavHau/nix-portable,"Nix - Static, Permissionless, Installation-free, Pre-configured.",installation-media,https://github.com/DavHau/nix-portable,https://github.com/DavHau/nix-portable,MIT,2021-02-08 07:12:43,2025-08-21 00:08:56,2025-06-01 05:30:34,177,1.0,46.0,17,82.0,58.0,22.0,1101,13.0,16,True,2,2024-04-15 08:53:22,012,12.0,,,18327.0,339.0,,1.0,,
87,flake.parts,hercules-ci/flake-parts,Minimal Nix modules framework for Flakes: split your flakes into modules and get things done with community modules.,development,https://github.com/hercules-ci/flake-parts,https://github.com/hercules-ci/flake-parts,MIT,2021-10-27 09:03:42,2025-08-06 13:36:06,2025-08-06 13:36:06,394,19.0,53.0,21,170.0,54.0,55.0,975,21.0,16,True,2,,,,,,,,,,,
88,morph,DBCDK/morph,A tool for managing existing NixOS hosts.,deployment-tools,https://github.com/DBCDK/morph,https://github.com/DBCDK/morph,MIT,2018-09-24 08:05:12,2025-07-23 06:09:02,2025-07-23 06:09:02,403,1.0,67.0,27,148.0,52.0,60.0,965,33.0,16,True,2,2024-10-23 08:41:20,1.8.0,10.0,,,,,,,,
89,cachix,cachix/cachix,Command line client for Nix binary cache hosting.,development,https://github.com/cachix/cachix,https://github.com/cachix/cachix,,2018-02-25 19:55:01,2025-08-19 14:09:42,2025-08-19 13:25:47,1286,91.0,50.0,11,336.0,121.0,239.0,943,21.0,16,True,2,,,,,,,,,,,
90,lorri,nix-community/lorri,A much better `nix-shell` for development that augments direnv.,development,https://github.com/nix-community/lorri,https://github.com/nix-community/lorri,Apache-2.0,2021-01-24 15:10:38,2025-04-19 22:07:58,2025-03-26 18:44:46,1144,,25.0,9,86.0,21.0,50.0,809,59.0,16,True,2,2024-08-16 16:11:14,1.7.1,7.0,,,,,,,,
91,git-hooks.nix,cachix/git-hooks.nix,Seamless integration of git hooks with Nix.,development,https://github.com/cachix/git-hooks.nix,https://github.com/cachix/git-hooks.nix,Apache-2.0,2019-08-16 13:01:11,2025-08-23 14:46:56,2025-08-23 14:46:46,1046,20.0,186.0,5,440.0,52.0,127.0,697,131.0,16,True,2,,,,,,,,,,,
92,comin,nlewo/comin,A deployment tool to continuously pull from Git repositories.,deployment-tools,https://github.com/nlewo/comin,https://github.com/nlewo/comin,MIT,2022-12-10 09:13:26,2025-08-23 15:00:55,2025-08-23 15:00:54,278,31.0,31.0,7,53.0,24.0,20.0,683,15.0,16,True,2,2025-07-13 16:38:40,0.8.0,9.0,,,,,,,,
93,nixpkgs-fmt,nix-community/nixpkgs-fmt,Nix code formatter for nixpkgs.,command-line-tools,https://github.com/nix-community/nixpkgs-fmt,https://github.com/nix-community/nixpkgs-fmt,Apache-2.0,2019-05-02 19:38:08,2024-07-24 11:56:52,2024-07-24 11:56:51,527,,33.0,10,210.0,32.0,89.0,569,30.0,16,False,2,,,,145.0,145.0,,,,,,
