,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
143,musnix,musnix/musnix,Do real-time audio work in NixOS.,nixos-modules,https://github.com/musnix/musnix,https://github.com/musnix/musnix,BSD-3-Clause,2014-12-22 20:57:55,2026-01-02 23:49:58,2026-01-01 01:53:22,420.0,3.0,62.0,16.0,159.0,11.0,56.0,830,14,True,3,,,,,,,38.0,,,,,,
144,nix-bundle,nix-community/nix-bundle,Bundle Nix derivations to run anywhere.,command-line-tools,https://github.com/nix-community/nix-bundle,https://github.com/nix-community/nix-bundle,MIT,2016-06-14 19:51:08,2025-09-01 14:14:28,2025-09-01 14:14:16,186.0,,56.0,26.0,45.0,46.0,33.0,800,14,True,2,,2018-04-10 19:46:47,0.3.0,117.0,1.0,1.0,21.0,,,,,,
145,statix,oppiliappan/statix,A linter/fixer to check for and fix antipatterns in Nix code.,command-line-tools,https://github.com/oppiliappan/statix,https://github.com/oppiliappan/statix,MIT,2021-10-24 12:42:29,2026-01-09 02:19:52,2025-10-16 06:31:33,283.0,1.0,29.0,7.0,72.0,39.0,43.0,798,14,True,2,-2.0,2023-09-09 11:41:50,0.5.8,,,6.0,20.0,,,,,,
146,nix-snapshotter,pdtpartners/nix-snapshotter,Brings native understanding of Nix packages to containerd.,virtualisation,https://github.com/pdtpartners/nix-snapshotter,https://github.com/pdtpartners/nix-snapshotter,MIT,2023-07-05 18:31:50,2025-08-26 02:14:29,2025-08-26 02:02:16,87.0,,27.0,15.0,97.0,19.0,54.0,769,14,True,3,,2025-08-26 02:14:30,0.3.0,,,7.0,10.0,,,,,,
147,uv2nix,pyproject-nix/uv2nix,Ingest uv workspaces using Nix.,programming-languages,https://github.com/pyproject-nix/uv2nix,https://github.com/pyproject-nix/uv2nix,MIT,2024-08-22 04:29:29,2026-01-06 12:05:22,2026-01-06 12:04:58,406.0,25.0,32.0,8.0,224.0,2.0,55.0,643,14,True,2,,,,,,,16.0,,,['python'],,,
148,nix-pills,NixOS/nix-pills,Guided introduction to Nix fundamentals from basic concepts to advanced use cases.,learning,https://github.com/NixOS/nix-pills,https://github.com/NixOS/nix-pills,CC-BY-SA-4.0,2017-08-14 09:08:14,2025-08-25 18:50:18,2025-08-25 18:50:18,398.0,,122.0,78.0,190.0,39.0,38.0,455,14,True,2,,,,,,,114.0,,,,,,
149,spicetify-nix,Gerg-L/spicetify-nix,A nix library for modifying spotify with spicetify.,theming,https://github.com/Gerg-L/spicetify-nix,https://github.com/Gerg-L/spicetify-nix,GPL-3.0,2023-11-30 23:44:32,2026-01-11 06:40:10,2026-01-11 04:51:38,948.0,31.0,30.0,4.0,266.0,2.0,66.0,367,14,True,2,,2025-04-29 21:27:19,24.11,,,1.0,29.0,,,,,,
150,nixos-unified,srid/nixos-unified,"Unify NixOS + nix-darwin + home-manager configuration in a single flake, while providing a consistent interface at DX..",nixos-modules,https://github.com/srid/nixos-unified,https://github.com/srid/nixos-unified,MIT,2023-03-15 17:35:12,2025-11-25 13:14:07,2025-11-25 13:14:07,189.0,4.0,37.0,2.0,71.0,21.0,40.0,341,14,True,3,,2024-10-03 15:42:09,0.2.0,,,2.0,10.0,,,,,,
151,raspberry-pi-nix,nix-community/raspberry-pi-nix,NixOS modules to aid in configuring NixOS for Raspberry PI products.,installation-media,https://github.com/nix-community/raspberry-pi-nix,https://github.com/nix-community/raspberry-pi-nix,MIT,2022-05-21 01:16:06,2025-03-23 01:24:31,2025-03-17 14:59:51,165.0,,79.0,8.0,46.0,13.0,53.0,312,14,True,3,,2024-11-05 03:51:57,0.4.1,,,7.0,14.0,,,,,,
152,NixVirt,AshleyYakeley/NixVirt,LibVirt domain management for Nix.,virtualisation,https://github.com/AshleyYakeley/NixVirt,https://github.com/AshleyYakeley/NixVirt,MIT,2024-01-27 19:54:59,2025-12-06 21:40:14,2025-12-06 21:40:11,421.0,10.0,41.0,2.0,54.0,7.0,36.0,310,14,True,3,,,,,,,23.0,,,,,,
153,nixpkgs-esp-dev,mirrexagon/nixpkgs-esp-dev,Nix flake and overlay for ESP8266 and ESP32 development.,overlays,https://github.com/mirrexagon/nixpkgs-esp-dev,https://github.com/mirrexagon/nixpkgs-esp-dev,CC0-1.0,2019-06-01 04:00:43,2026-01-08 09:44:01,2026-01-08 09:43:27,210.0,13.0,91.0,9.0,62.0,18.0,35.0,275,14,True,2,,,,,,,33.0,,,,,,
154,NobbZ/nixos-config,NobbZ/nixos-config,An example of NixOS system configuration with home-manager integration.,nix-configurations,https://github.com/NobbZ/nixos-config,https://github.com/NobbZ/nixos-config,MIT,2020-10-28 15:25:22,2026-01-11 12:03:02,2026-01-11 12:03:01,5071.0,234.0,6.0,2.0,1445.0,11.0,4.0,262,14,True,3,,,,,,,9.0,,,,,,
155,nvfetcher,berberman/nvfetcher,Generate nix sources expr for the latest version of packages.,development,https://github.com/berberman/nvfetcher,https://github.com/berberman/nvfetcher,MIT,2021-04-20 04:07:58,2025-12-14 07:51:05,2025-12-14 07:45:11,186.0,3.0,19.0,2.0,77.0,14.0,52.0,260,14,True,2,,2025-12-14 07:46:13,0.8.0,,,10.0,17.0,,,,,,
156,cached-nix-shell,xzfc/cached-nix-shell,A `nix-shell` replacement that uses caching to open subsequent shells quickly.,development,https://github.com/xzfc/cached-nix-shell,https://github.com/xzfc/cached-nix-shell,Unlicense,2019-09-18 14:23:00,2024-11-24 23:00:19,2024-06-23 18:47:25,182.0,,15.0,6.0,7.0,7.0,21.0,226,14,False,2,,2024-06-23 19:21:14,0.1.6,,,3.0,6.0,8.0,8.0,,,,
157,Easy PureScript Nix,justinwoo/easy-purescript-nix,A project to easily use PureScript and other tools with Nix.,programming-languages,https://github.com/justinwoo/easy-purescript-nix,https://github.com/justinwoo/easy-purescript-nix,MIT,2018-10-21 15:16:08,2025-11-22 12:21:39,2025-11-22 12:21:39,463.0,3.0,55.0,7.0,198.0,6.0,31.0,207,14,True,2,,,,,,,32.0,,,,,,
158,nix-idea,NixOS/nix-idea,Nix plugin for the IntelliJ IDEA IDE.,editors-and-ides,https://github.com/NixOS/nix-idea,https://github.com/NixOS/nix-idea,Apache-2.0,2016-09-08 08:44:59,2026-01-04 06:31:03,2026-01-04 06:25:27,312.0,3.0,28.0,42.0,60.0,12.0,24.0,204,14,True,3,,2025-07-04 13:35:36,0.4.0.18,316.0,2.0,28.0,17.0,,,,,,
159,clj-nix,jlesquembre/clj-nix,Nix helper functions for Clojure projects.,programming-languages,https://github.com/jlesquembre/clj-nix,https://github.com/jlesquembre/clj-nix,EPL-2.0,2022-04-02 19:16:53,2026-01-05 04:45:25,2025-12-30 20:52:06,258.0,3.0,25.0,5.0,105.0,27.0,47.0,171,14,True,2,,2024-11-20 01:44:18,0.4.0,,,1.0,17.0,,,,,,
160,lean4-nix,lenianiva/lean4-nix,"Nix flake build for Lean 4, and `lake2nix`.",programming-languages,https://github.com/lenianiva/lean4-nix,https://github.com/lenianiva/lean4-nix,Apache-2.0,2024-10-11 05:39:31,2026-01-10 06:19:17,2026-01-10 06:19:17,257.0,59.0,13.0,3.0,70.0,4.0,33.0,82,14,True,2,,2024-12-10 06:09:58,0.2,,,2.0,5.0,,,,,,
161,attic,zhaofengli/attic,Multi-tenant Nix Binary Cache.,development,https://github.com/zhaofengli/attic,https://github.com/zhaofengli/attic,,2022-12-31 23:43:41,2026-01-08 21:57:58,2025-09-24 10:59:48,425.0,,135.0,12.0,126.0,120.0,62.0,1662,13,True,3,,,,,,,35.0,,,,,,
162,naersk,nix-community/naersk,Build Rust packages directly from `Cargo.lock`.,programming-languages,https://github.com/nix-community/naersk,https://github.com/nix-community/naersk,MIT,2019-06-13 11:27:21,2025-11-17 13:02:46,2025-11-17 13:02:46,381.0,1.0,92.0,6.0,203.0,59.0,112.0,934,13,True,2,,,,,,,55.0,,,['rust'],,,
163,nixGL,nix-community/nixGL,A wrapper tool for nix OpenGL application.,nixos-modules,https://github.com/nix-community/nixGL,https://github.com/nix-community/nixGL,MIT,2017-09-16 10:18:56,2025-11-02 13:41:21,2025-11-02 13:41:20,181.0,1.0,124.0,14.0,83.0,75.0,60.0,924,13,True,3,,,,,,,30.0,,,,,,
164,nixos-cosmic,lilyinstarlight/nixos-cosmic,Flake for using COSMIC on NixOS.,nixos-modules,https://github.com/lilyinstarlight/nixos-cosmic,https://github.com/lilyinstarlight/nixos-cosmic,MIT,2024-02-27 23:59:10,2026-01-11 23:24:08,2025-07-04 01:16:54,949.0,,47.0,9.0,711.0,45.0,113.0,653,13,True,3,,,,,,,20.0,,,,,,
165,nixpkgs-mozilla,mozilla/nixpkgs-mozilla,Mozilla overlay for Nixpkgs.,overlays,https://github.com/mozilla/nixpkgs-mozilla,https://github.com/mozilla/nixpkgs-mozilla,MIT,2016-06-16 22:14:00,2025-11-04 11:34:56,2025-11-04 11:34:56,274.0,1.0,128.0,14.0,203.0,51.0,92.0,574,13,True,3,,,,,,,66.0,,,,,,
166,noogle,nix-community/noogle,Nix function exploring.,discovery,https://github.com/nix-community/noogle,https://github.com/nix-community/noogle,MIT,2022-11-26 09:35:35,2026-01-11 11:33:23,2026-01-11 11:33:22,1164.0,32.0,16.0,2.0,1219.0,20.0,45.0,515,13,True,2,,,,,,1.0,19.0,,,,,,
167,rnix-parser,nix-community/rnix-parser,A Nix parser written in Rust.,development,https://github.com/nix-community/rnix-parser,https://github.com/nix-community/rnix-parser,MIT,2018-08-11 12:29:05,2025-01-09 22:07:46,2025-01-09 22:07:46,362.0,,49.0,7.0,117.0,12.0,46.0,433,13,True,3,,,,,,,26.0,2.0,2.0,,,,
168,flakelight,nix-community/flakelight,A modular flake framework aiming to minimize boilerplate.,development,https://github.com/nix-community/flakelight,https://github.com/nix-community/flakelight,MIT,2023-04-09 00:56:54,2026-01-05 12:57:19,2026-01-05 12:57:01,311.0,22.0,10.0,8.0,11.0,2.0,27.0,365,13,True,3,,,,,,,7.0,,,,,,
169,agenix-rekey,oddlama/agenix-rekey,An agenix extension adding secret generation and automatic rekeying using a YubiKey or master-identity.,security,https://github.com/oddlama/agenix-rekey,https://github.com/oddlama/agenix-rekey,MIT,2023-01-30 15:44:34,2025-10-05 21:31:48,2025-10-05 21:31:48,244.0,,41.0,5.0,56.0,20.0,57.0,363,13,True,2,,,,,,,27.0,,,,,,
170,juspay/nixos-unified-template,juspay/nixos-unified-template,A ready-made Nix configuration to manage either your Home environment or whole NixOS systems.,nix-configurations,https://github.com/juspay/nixos-unified-template,https://github.com/juspay/nixos-unified-template,AGPL-3.0,2023-04-01 13:43:05,2026-01-11 00:14:13,2025-12-29 16:30:19,328.0,14.0,66.0,9.0,146.0,9.0,39.0,351,13,True,3,,,,,,,16.0,,,,,,
171,nixarr,rasmus-kirk/nixarr,The Media Server Nixos Module.,nixos-modules,https://github.com/rasmus-kirk/nixarr,https://github.com/rasmus-kirk/nixarr,GPL-3.0,2024-02-21 09:34:24,2025-12-29 09:32:56,2025-12-14 16:56:44,384.0,40.0,40.0,5.0,66.0,8.0,56.0,334,13,True,3,,,,,,,20.0,,,,,,
172,Typix,loqusion/typix,Deterministic Typst compilation with Nix.,development,https://github.com/loqusion/typix,https://github.com/loqusion/typix,MIT,2023-12-24 03:37:43,2026-01-12 00:20:34,2026-01-12 00:20:33,437.0,8.0,12.0,3.0,66.0,4.0,10.0,287,13,True,3,,2025-06-27 08:35:45,0.3.2,,,13.0,7.0,,,,,,
173,pyproject.nix,pyproject-nix/pyproject.nix,A collection of Nix utilities to work with Python projects.,programming-languages,https://github.com/pyproject-nix/pyproject.nix,https://github.com/pyproject-nix/pyproject.nix,MIT,2023-07-17 10:21:45,2025-12-19 02:25:59,2025-11-26 05:28:35,521.0,9.0,31.0,7.0,352.0,2.0,46.0,286,13,True,2,,,,,,,16.0,,,['python'],,,
174,sbomnix,tiiuae/sbomnix,A suite of utilities to help with software supply chain challenges on nix targets.,security,https://github.com/tiiuae/sbomnix,https://github.com/tiiuae/sbomnix,,2022-12-08 10:45:27,2025-11-12 04:57:24,2025-11-12 04:56:41,357.0,5.0,29.0,7.0,215.0,10.0,19.0,230,13,True,2,,2025-10-13 07:22:52,1.7.4,408.0,11.0,19.0,18.0,,,,,,
