,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,trending,updated_github_id,dependent_project_count,github_dependent_project_count,labels,new_addition,gitlab_id,gitlab_url
222,haumea,nix-community/haumea,"Filesystem-based module system for the Nix language similar to traditional programming languages, with support for..",development,https://github.com/nix-community/haumea,https://github.com/nix-community/haumea,MPL-2.0,2023-04-01 00:50:18,2024-06-05 05:11:22,2024-02-19 20:38:18,93.0,,9.0,5.0,38.0,10.0,4.0,378,11,False,3,2023-05-26 20:34:06,0.2.2,,,5.0,4.0,,,,,,,,
223,trustix,nix-community/trustix,Distributed trust and reproducibility tracking for binary caches.,security,https://github.com/nix-community/trustix,https://github.com/nix-community/trustix,,2020-12-03 15:30:40,2024-08-15 14:03:26,2024-08-14 20:49:19,1208.0,,21.0,7.0,353.0,36.0,24.0,354,11,False,3,,,,,,17.0,,,,,,,,
224,any-nix-shell,haslersn/any-nix-shell,fish and zsh support for the nix run and nix-shell environments of the Nix package manager.,development,https://github.com/haslersn/any-nix-shell,https://github.com/haslersn/any-nix-shell,MIT,2018-09-10 16:36:27,2024-09-01 22:49:17,2024-09-01 22:49:17,51.0,,16.0,8.0,18.0,6.0,16.0,322,11,False,3,2024-07-23 16:03:52,2.0.1,,,7.0,10.0,,,,,,,,
225,gitignore.nix,hercules-ci/gitignore.nix,The most feature-complete and easy-to-use `.gitignore` integration.,development,https://github.com/hercules-ci/gitignore.nix,https://github.com/hercules-ci/gitignore.nix,Unlicense,2019-05-12 11:51:55,2025-11-10 20:53:46,2025-11-10 20:53:45,107.0,4.0,22.0,9.0,35.0,23.0,12.0,281,11,True,3,,,,,,13.0,,,,,,,,
226,extra-container,erikarvstedt/extra-container,Run declarative NixOS containers from the command line.,virtualisation,https://github.com/erikarvstedt/extra-container,https://github.com/erikarvstedt/extra-container,MIT,2018-07-14 13:32:14,2026-01-10 20:57:00,2025-12-19 14:48:47,155.0,2.0,19.0,10.0,7.0,2.0,29.0,275,11,True,3,,,,,,3.0,,,,,,,,
227,nixos-docker-sd-image-builder,Robertof/nixos-docker-sd-image-builder,Build custom SD images of NixOS for your Raspberry Pi (or any other supported AArch64 device) in 5-20 minutes.,installation-media,https://github.com/Robertof/nixos-docker-sd-image-builder,https://github.com/Robertof/nixos-docker-sd-image-builder,MIT,2020-05-04 23:32:19,2024-05-27 17:16:26,2024-05-27 17:16:26,73.0,,34.0,7.0,7.0,5.0,22.0,226,11,False,3,,,,,,7.0,,,,,,,,
228,nix-search-cli,peterldowns/nix-search-cli,CLI for searching packages on search.nixos.org.,discovery,https://github.com/peterldowns/nix-search-cli,https://github.com/peterldowns/nix-search-cli,MIT,2023-02-19 19:14:30,2025-11-03 16:36:04,2025-11-03 16:35:37,82.0,1.0,8.0,2.0,8.0,3.0,15.0,210,11,True,3,2025-11-03 16:36:04,0.3+commit.ab0d515,823.0,23.0,34.0,2.0,,,6.0,6.0,,,,
229,nix-search-tv,3timeslazy/nix-search-tv,"CLI fuzzy finder for packages and options from Nixpkgs, Home Manager, and more.",discovery,https://github.com/3timeslazy/nix-search-tv,https://github.com/3timeslazy/nix-search-tv,GPL-3.0,2025-01-29 09:30:56,2026-01-09 01:48:31,2026-01-09 01:41:42,140.0,4.0,5.0,,3.0,1.0,15.0,199,11,True,3,2026-01-09 01:48:31,2.2.4,,,16.0,2.0,,,,,,,,
230,nixsa,noamraph/nixsa,A Nix Standalone Environment.,installation-media,https://github.com/noamraph/nixsa,https://github.com/noamraph/nixsa,LGPL-2.1,2024-08-05 19:57:39,2026-01-01 08:08:25,2025-04-01 21:30:56,69.0,,4.0,2.0,21.0,4.0,9.0,190,11,True,3,2024-11-17 20:35:16,0.2.0,463.0,27.0,6.0,4.0,,,,,,,,
231,rippkgs,replit/rippkgs,A CLI for indexing and searching packages in Nix expressions.,discovery,https://github.com/replit/rippkgs,https://github.com/replit/rippkgs,MIT,2024-02-08 16:38:09,2025-05-17 04:12:44,2025-05-17 04:12:43,53.0,,5.0,20.0,35.0,6.0,4.0,163,11,True,3,2025-02-11 22:56:58,1.2.0,,,5.0,4.0,,,,,,,,
