,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,updated_github_id,gitlab_id,gitlab_url
166,nix-mineral,cynicsketch/nix-mineral,Conveniently and reasonably harden NixOS.,nixos-modules,https://github.com/cynicsketch/nix-mineral,https://github.com/cynicsketch/nix-mineral,GPL-3.0,2024-05-10 21:02:28,2025-10-26 01:57:09,2025-10-26 01:57:08,203.0,12.0,17.0,6.0,27.0,31.0,28.0,351,7.0,13,True,2,,,,,,7.0,,,,,,
167,Home Manager Option Search,mipmip/home-manager-option-search,Search through all 2000+ Home Manager options and read how to use them.,discovery,https://github.com/mipmip/home-manager-option-search,https://github.com/mipmip/home-manager-option-search,Apache-2.0,2022-01-04 22:27:08,2025-10-26 04:32:43,2025-05-24 07:19:35,149.0,,18.0,,22.0,12.0,21.0,346,15.0,13,True,2,,2023-12-12 22:53:06,1.4,,,4.0,,,,,,
168,flakelight,nix-community/flakelight,A modular flake framework aiming to minimize boilerplate.,development,https://github.com/nix-community/flakelight,https://github.com/nix-community/flakelight,MIT,2023-04-09 00:56:54,2025-10-25 19:30:21,2025-10-25 19:27:41,294.0,23.0,8.0,7.0,8.0,2.0,27.0,334,6.0,13,True,3,,,,,,,,,,,,
169,juspay/nixos-unified-template,juspay/nixos-unified-template,A ready-made Nix configuration to manage either your Home environment or whole NixOS systems.,nix-configurations,https://github.com/juspay/nixos-unified-template,https://github.com/juspay/nixos-unified-template,AGPL-3.0,2023-04-01 13:43:05,2025-10-26 18:56:25,2025-10-26 18:56:23,316.0,15.0,65.0,10.0,135.0,7.0,37.0,330,14.0,13,True,3,,,,,,,,,,,,
170,nixarr,rasmus-kirk/nixarr,The Media Server Nixos Module.,nixos-modules,https://github.com/rasmus-kirk/nixarr,https://github.com/rasmus-kirk/nixarr,GPL-3.0,2024-02-21 09:34:24,2025-10-23 13:34:10,2025-10-23 13:13:10,355.0,14.0,33.0,3.0,39.0,13.0,45.0,287,18.0,13,True,2,2.0,,,,,,,,,,,
171,NobbZ/nixos-config,NobbZ/nixos-config,An example of NixOS system configuration with home-manager integration.,nix-configurations,https://github.com/NobbZ/nixos-config,https://github.com/NobbZ/nixos-config,MIT,2020-10-28 15:25:22,2025-10-26 03:05:44,2025-10-26 03:05:43,4885.0,188.0,6.0,2.0,1348.0,11.0,4.0,262,8.0,13,True,3,,,,,,,,,,,,
172,nvfetcher,berberman/nvfetcher,Generate nix sources expr for the latest version of packages.,development,https://github.com/berberman/nvfetcher,https://github.com/berberman/nvfetcher,MIT,2021-04-20 04:07:58,2025-10-20 08:17:36,2025-10-20 08:17:36,184.0,6.0,18.0,2.0,75.0,14.0,52.0,245,17.0,13,True,3,,2024-11-21 07:05:00,0.7.0,,,9.0,,,,,,
173,clj-nix,jlesquembre/clj-nix,Nix helper functions for Clojure projects.,programming-languages,https://github.com/jlesquembre/clj-nix,https://github.com/jlesquembre/clj-nix,EPL-2.0,2022-04-02 19:16:53,2025-10-20 04:03:43,2025-09-01 10:33:55,255.0,1.0,24.0,5.0,102.0,27.0,46.0,170,16.0,13,True,2,,2024-11-20 01:44:18,0.4.0,,,1.0,,,,,,
174,dns.nix,nix-community/dns.nix,A Nix DSL for DNS zone files.,nixos-modules,https://github.com/nix-community/dns.nix,https://github.com/nix-community/dns.nix,MPL-2.0,2019-03-08 17:27:59,2025-10-03 16:50:10,2025-10-03 16:50:10,103.0,5.0,29.0,5.0,32.0,10.0,9.0,160,14.0,13,True,2,,2021-10-26 18:34:12,1.1.2,,,4.0,,,,,,
175,ghc.nix,alpmestan/ghc.nix,Nix (shell) expression for working on GHC.,programming-languages,https://github.com/alpmestan/ghc.nix,https://github.com/alpmestan/ghc.nix,BSD-3-Clause,2018-04-18 19:54:21,2025-10-26 01:19:32,2024-06-10 15:01:25,271.0,,51.0,13.0,135.0,27.0,29.0,147,29.0,13,False,2,,,,,,,,,['haskell'],,,
176,nix-unit,nix-community/nix-unit,Unit testing for Nix code.,development,https://github.com/nix-community/nix-unit,https://github.com/nix-community/nix-unit,GPL-3.0,2023-07-21 05:23:06,2025-09-25 15:58:58,2025-09-13 16:42:04,628.0,12.0,13.0,2.0,256.0,6.0,11.0,106,21.0,13,True,3,,2025-08-12 07:35:02,2.30.0,,,4.0,,,,,,
177,nix-phps,fossar/nix-phps,Flake containing old and unmaintained PHP versions (intended for CI use).,programming-languages,https://github.com/fossar/nix-phps,https://github.com/fossar/nix-phps,MIT,2021-01-09 21:40:06,2025-10-26 03:32:26,2025-10-19 17:14:34,458.0,10.0,23.0,3.0,442.0,6.0,25.0,78,17.0,13,True,2,,,,,,,,,['php'],,,
178,lean4-nix,lenianiva/lean4-nix,"Nix flake build for Lean 4, and `lake2nix`.",programming-languages,https://github.com/lenianiva/lean4-nix,https://github.com/lenianiva/lean4-nix,Apache-2.0,2024-10-11 05:39:31,2025-10-25 05:01:49,2025-10-25 05:01:07,217.0,65.0,10.0,3.0,56.0,4.0,20.0,62,5.0,13,True,2,,2024-12-10 06:09:58,0.2,,,2.0,,,,,,
179,lon,nikstur/lon,Lock & update Nix dependencies.,command-line-tools,https://github.com/nikstur/lon,https://github.com/nikstur/lon,MIT,2024-08-09 17:21:27,2025-10-24 12:41:08,2025-10-24 12:41:06,140.0,22.0,3.0,3.0,48.0,3.0,5.0,48,5.0,13,True,2,,2025-06-16 12:45:52,0.8.0,,,8.0,,,,,,
180,haskell-nix,Gabriella439/haskell-nix,Nix and Haskell in production.,programming-languages,https://github.com/Gabriella439/haskell-nix,https://github.com/Gabriella439/haskell-nix,,2017-01-02 18:59:50,2023-09-22 15:53:46,2023-09-22 15:53:46,82.0,,111.0,31.0,35.0,26.0,38.0,1165,23.0,12,False,3,,,,,,,,,['haskell'],,,
181,nix-tree,utdemir/nix-tree,Interactively browse the dependency graph of Nix derivations.,command-line-tools,https://github.com/utdemir/nix-tree,https://github.com/utdemir/nix-tree,BSD-3-Clause,2020-06-24 22:41:51,2025-10-12 21:07:27,2025-10-12 19:54:14,239.0,6.0,16.0,5.0,75.0,15.0,39.0,934,12.0,12,True,2,,,,,,,,,,,,
182,nix-topology,oddlama/nix-topology,Generate infrastructure and network diagrams directly from your NixOS configuration.,nixos-modules,https://github.com/oddlama/nix-topology,https://github.com/oddlama/nix-topology,MIT,2024-04-03 20:05:49,2025-07-09 20:44:38,2025-07-09 20:44:37,213.0,,36.0,11.0,63.0,9.0,13.0,791,22.0,12,True,3,,,,,,,,,,,,
183,nixbsd,nixos-bsd/nixbsd,An unofficial NixOS fork with a FreeBSD kernel.,distributions,https://github.com/nixos-bsd/nixbsd,https://github.com/nixos-bsd/nixbsd,MIT,2023-12-24 23:35:29,2025-06-13 05:33:40,2025-03-28 08:58:25,316.0,,28.0,24.0,13.0,15.0,19.0,781,6.0,12,True,2,,,,,,,,,,,,
184,nix-alien,thiagokokada/nix-alien,Run unpatched binaries on Nix/NixOS easily.,command-line-tools,https://github.com/thiagokokada/nix-alien,https://github.com/thiagokokada/nix-alien,MIT,2021-10-27 00:26:44,2025-10-15 09:27:28,2025-10-15 09:27:26,408.0,6.0,12.0,4.0,106.0,1.0,36.0,710,10.0,12,True,2,,,,,,,,,,,,
