,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,contributor_count,dependent_project_count,github_dependent_project_count,updated_github_id,labels,trending,gitlab_id,gitlab_url
86,nix-eval-jobs,nix-community/nix-eval-jobs,Parallel nix evaluator with a streamable json output.,command-line-tools,https://github.com/NixOS/nix-eval-jobs,https://github.com/NixOS/nix-eval-jobs,GPL-3.0,2021-03-15 04:53:42,2026-03-24 20:15:34,2026-03-19 22:22:06,897.0,18.0,45.0,9.0,363.0,16.0,31.0,236,17,True,2,2026-03-16 17:22:52,2.34.1,,,40.0,29.0,,,NixOS/nix-eval-jobs,,,,
87,nix-security-tracker,Nix-Security-WG/nix-security-tracker,Web service for managing information on vulnerabilities in software distributed through Nixpkgs.,security,https://github.com/NixOS/nix-security-tracker,https://github.com/NixOS/nix-security-tracker,MIT,2023-08-31 16:49:45,2026-04-03 14:45:42,2026-04-03 14:45:25,892.0,286.0,30.0,8.0,624.0,103.0,199.0,82,17,True,1,,,,,,30.0,,,NixOS/nix-security-tracker,,,,
88,dustinlyons/nixos-config,dustinlyons/nixos-config,General purpose Nix configuration for macOS / NixOS (with starter templates).,nix-configurations,https://github.com/dustinlyons/nixos-config,https://github.com/dustinlyons/nixos-config,BSD-3-Clause,2021-10-22 07:25:20,2026-04-03 14:12:26,2026-04-03 06:13:33,2342.0,6.0,197.0,18.0,40.0,28.0,84.0,3437,16,True,2,,,,,,19.0,,,,,,,
89,nixos-infect,elitak/nixos-infect,Replace a running non-NixOS Linux host with NixOS.,installation-media,https://github.com/elitak/nixos-infect,https://github.com/elitak/nixos-infect,GPL-3.0,2016-04-18 22:10:28,2026-03-22 21:54:35,2026-03-22 21:54:35,190.0,25.0,281.0,14.0,174.0,53.0,37.0,1818,16,True,2,,,,,,108.0,,,,,,,
90,devshell,numtide/devshell,`mkShell` with extra bits and a toml config option to be able to onboard non-nix users.,development,https://github.com/numtide/devshell,https://github.com/numtide/devshell,MIT,2020-08-04 20:29:01,2026-03-23 11:08:00,2026-01-19 10:23:42,361.0,5.0,92.0,25.0,207.0,68.0,72.0,1504,16,True,2,,,,,,43.0,,,,,,,
91,nix-output-monitor,maralorn/nix-output-monitor,A tool to produce useful graphs and statistics when building derivations.,command-line-tools,https://github.com/maralorn/nix-output-monitor,https://github.com/maralorn/nix-output-monitor,EUPL-1.2,2020-10-03 14:25:34,2026-04-03 05:30:28,2026-04-03 04:02:57,675.0,34.0,44.0,10.0,69.0,92.0,93.0,1446,16,True,2,2022-10-15 10:21:00,2.0.0.0,,,18.0,25.0,,,,,,,
92,flake.parts,hercules-ci/flake-parts,Minimal Nix modules framework for Flakes: split your flakes into modules and get things done with community modules.,development,https://github.com/hercules-ci/flake-parts,https://github.com/hercules-ci/flake-parts,MIT,2021-10-27 09:03:42,2026-04-01 23:52:15,2026-04-01 23:52:14,448.0,11.0,69.0,19.0,190.0,60.0,63.0,1288,16,True,2,,,,,,24.0,,,,,,,
93,Zero to Nix,DeterminateSystems/zero-to-nix,"A beginners guide to Nix, providing step-by-step tutorials and explanations.",learning,https://github.com/DeterminateSystems/zero-to-nix,https://github.com/DeterminateSystems/zero-to-nix,,2022-11-07 18:38:33,2026-04-01 02:16:38,2026-03-27 14:43:43,1639.0,52.0,78.0,13.0,391.0,37.0,74.0,1198,16,True,2,,,,,,55.0,,,,,,,
94,morph,DBCDK/morph,A tool for managing existing NixOS hosts.,deployment-tools,https://github.com/DBCDK/morph,https://github.com/DBCDK/morph,MIT,2018-09-24 08:05:12,2025-11-24 09:26:17,2025-11-24 09:26:09,406.0,,67.0,27.0,149.0,53.0,60.0,1027,16,True,2,2024-10-23 08:41:20,1.8.0,,,10.0,33.0,,,,,,,
95,lorri,nix-community/lorri,A much better `nix-shell` for development that augments direnv.,development,https://github.com/nix-community/lorri,https://github.com/nix-community/lorri,Apache-2.0,2021-01-24 15:10:38,2025-04-19 22:07:58,2025-03-26 18:44:46,1144.0,,26.0,9.0,86.0,25.0,51.0,852,16,False,2,2024-08-16 16:11:14,1.7.1,,,7.0,59.0,,,,,,,
