,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,labels,trending,updated_github_id,gitlab_id,gitlab_url
178,nix-super,privatevoid-net/nix-super,A fork of the Nix package manager.,development,https://github.com/privatevoid-net/nix-super,https://github.com/privatevoid-net/nix-super,LGPL-2.1,2022-08-25 22:06:01,2025-07-28 01:12:19,2025-07-28 01:07:45,20453.0,46.0,2.0,4.0,16.0,1.0,2.0,86,824.0,13,True,3.0,,,,,,,,,,,,
179,nix-phps,fossar/nix-phps,Flake containing old and unmaintained PHP versions (intended for CI use).,programming-languages,https://github.com/fossar/nix-phps,https://github.com/fossar/nix-phps,MIT,2021-01-09 21:40:06,2025-09-14 03:24:18,2025-08-10 12:21:55,451.0,15.0,22.0,3.0,433.0,6.0,25.0,78,17.0,13,True,2.0,,,,,,,,['php'],,,,
180,lon,nikstur/lon,Lock & update Nix dependencies.,command-line-tools,https://github.com/nikstur/lon,https://github.com/nikstur/lon,MIT,2024-08-09 17:21:27,2025-09-10 13:08:52,2025-09-10 13:08:50,124.0,15.0,3.0,4.0,43.0,2.0,4.0,37,5.0,13,True,2.0,2025-06-16 12:45:52,0.8.0,8.0,,,,,,,,,
181,haskell-nix,Gabriella439/haskell-nix,Nix and Haskell in production.,programming-languages,https://github.com/Gabriella439/haskell-nix,https://github.com/Gabriella439/haskell-nix,,2017-01-02 18:59:50,2023-09-22 15:53:46,2023-09-22 15:53:46,82.0,,112.0,32.0,35.0,26.0,38.0,1160,23.0,12,False,3.0,,,,,,,,['haskell'],,,,
182,nix-tree,utdemir/nix-tree,Interactively browse the dependency graph of Nix derivations.,command-line-tools,https://github.com/utdemir/nix-tree,https://github.com/utdemir/nix-tree,BSD-3-Clause,2020-06-24 22:41:51,2025-09-01 00:39:17,2025-09-01 00:39:16,235.0,5.0,16.0,6.0,73.0,15.0,38.0,910,12.0,12,True,2.0,,,,,,,,,,,,
183,nixbsd,nixos-bsd/nixbsd,An unofficial NixOS fork with a FreeBSD kernel.,distributions,https://github.com/nixos-bsd/nixbsd,https://github.com/nixos-bsd/nixbsd,MIT,2023-12-24 23:35:29,2025-06-13 05:33:40,2025-03-28 08:58:25,316.0,,27.0,24.0,13.0,13.0,19.0,765,6.0,12,True,2.0,,,,,,,,,,,,
184,nix-alien,thiagokokada/nix-alien,Run unpatched binaries on Nix/NixOS easily.,command-line-tools,https://github.com/thiagokokada/nix-alien,https://github.com/thiagokokada/nix-alien,MIT,2021-10-27 00:26:44,2025-08-15 10:23:12,2025-08-15 10:23:11,405.0,4.0,12.0,5.0,103.0,1.0,36.0,701,10.0,12,True,2.0,,,,,,,,,,,,
185,RFCs,NixOS/rfcs,The Nix community RFCs.,learning,https://github.com/NixOS/rfcs,https://github.com/NixOS/rfcs,CC-BY-SA-4.0,2017-02-11 15:41:27,2025-05-26 15:49:46,2025-05-26 15:49:41,76.0,,142.0,131.0,187.0,,,601,39.0,12,True,2.0,,,,,,,,,,,,
186,Home Manager Option Search,mipmip/home-manager-option-search,Search through all 2000+ Home Manager options and read how to use them.,discovery,https://github.com/mipmip/home-manager-option-search,https://github.com/mipmip/home-manager-option-search,Apache-2.0,2022-01-04 22:27:08,2025-09-14 04:32:01,2025-05-24 07:19:35,149.0,,18.0,1.0,22.0,12.0,21.0,338,15.0,12,True,2.0,2023-12-12 22:53:06,1.4,4.0,,,,,,,,,
187,nix-security-box,fabaff/nix-security-box,Tool set for Information security professionals and all others.,security,https://github.com/fabaff/nix-security-box,https://github.com/fabaff/nix-security-box,MIT,2020-12-22 22:36:28,2025-08-14 23:23:45,2025-08-14 23:23:34,663.0,10.0,23.0,8.0,4.0,2.0,2.0,328,,12,True,2.0,,,,,,,,,,,,
